all,84
of,27
there,52
no,69
bee,130
fly,22
get,44
little,25
off,27
flies,29
bees,81
don't,65
what,56
think,29
up,61
on,140
can,35
this,128
can't,30
your,75
for,64
here,43
we're,31
you,107
,
got,35
going,24
that,168
me,52
,
make,23
around,22
back,41
looks,23
about,30
yeah,28
not,57
,
could,27
have,79
just,57
out,98
,
into,53
our,35
why,27
,
,
well,24
,
,
job,24
go,22
like,46
,
know,56
,
life,27
,
where,36
work,24
honey,74
pollen,53
jocks,28
,
with,79
,
by,25
was,51
yes,22
right,45
you're,40
who,24
but,67
do,68
,
one,35
,
how,34
now,23
them,26
talking,29
some,24
see,46
from,38
,
martin,25
thinking,27
janet,22
down,26
flowers,27
over,23
ken,92
plane,32
time,46
forward,29
flash,21
mooseblood,26
montgomery,34
mr,21
