tom,45
boy,57
,
girl,29
when,22
,
,
up,139
like,71
going,30
have,95
they,60
do,62
with,136
who,30
,
,
,
head,36
what,77
house,39
we,89
hear,28
through,24
,
down,74
,
door,54
for,109
look,32
,
,
an,55
camera,29
,
eyes,22
,
in,276
,
parents,26
bueller,21
,
their,33
hands,27
one,37
call,31
want,24
,
why,23
don't,62
but,52
,
get,57
back,62
take,23
,
into,69
good,24
,
can,36
you're,46
not,68
school,42
this,91
,
be,74
by,25
room,24
right,31
,
out,121
can't,28
see,34
really,24
home,25
,
,
go,24
,
turns,32
now,31
just,34
,
around,34
from,53
know,51
very,33
little,25
across,22
looks,49
day,25
over,50
then,23
sick,23
off,38
how,31
about,47
shit,25
could,26
,
car,57
,
comes,22
friend,24
guy,22
here,29
come,31
no,37
has,21
all,41
,
phone,52
voice,56
think,38
,
sitting,21
,
secretary,30
time,21
smiles,22
man,27
street,38
gonna,25
ferrari,31
